id,type,solver,label,status,submitted_on,solved_on
0e2f2312-0272-4490-b745-fc49aaa164c5,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_4_1_2,COMPLETED,2025-06-18T18:08:01.655994Z,2025-06-18T18:08:02.224022Z
ceb737bc-c1b4-4f24-a1d0-08d47d17514f,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_4_0_2,COMPLETED,2025-06-18T18:07:59.056166Z,2025-06-18T18:07:59.585383Z
cbc01142-c9ed-49c5-b00c-1706a215d79e,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_3_9_2,COMPLETED,2025-06-18T18:07:56.604574Z,2025-06-18T18:07:57.116129Z
79fa5cf5-4d97-48f5-8903-d94616b3381e,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_3_8_2,COMPLETED,2025-06-18T18:07:54.086883Z,2025-06-18T18:07:54.588825Z
eb931e9b-5d8d-4cc5-afee-988f5ddb9866,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_3_7_2,COMPLETED,2025-06-18T18:07:51.610099Z,2025-06-18T18:07:52.153442Z
bb644ea5-e1a5-4ab9-8e20-993bf1d7799a,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_3_6_2,COMPLETED,2025-06-18T18:07:49.161311Z,2025-06-18T18:07:49.703616Z
722d5d8e-969e-442f-9259-9359e18351a1,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_3_5_2,COMPLETED,2025-06-18T18:07:46.616942Z,2025-06-18T18:07:47.167473Z
697c00e2-2bce-432e-9ca5-3ae3c41a7fee,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_3_4_2,COMPLETED,2025-06-18T18:07:44.070863Z,2025-06-18T18:07:44.582279Z
e8d30154-48b6-4d00-8243-0b21d5e5cc19,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_3_3_2,COMPLETED,2025-06-18T18:07:41.573895Z,2025-06-18T18:07:42.115075Z
e2c911b7-c9fc-47c0-aa15-0a140785039b,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_3_2_2,COMPLETED,2025-06-18T18:07:39.101900Z,2025-06-18T18:07:39.633775Z
